DATE,지각자 수,TEM,WEATHER CONDITION,WIND,HUMIDITY,BAROMETER
08/16,0명,28,partly sunny,6km/h,89%,1011mbar
8/19,6명,29,passing clouds,13km/h,79%,1009mbar
8/20,2명,29,passing clouds,7km/h,84%,1009mbar
8/21,0명,29,passing clouds,7km/h,84%,1010mbar
8/22,1명,28,passing clouds,9km/h,84%,1010mbar
8/23,4명,27,rain showers&broken clouds,6km/h,89%,1012mbar
8/24,0명,27,scatteres clouds,6km/h,89%,1010mbar
8/25,0명,28,passing clouds,2km/h,84%,1010mbar
8/26,0명,27,sunny,2km/h,84%,1009mbar
8/27,0명,27,fog,11km/h,89%,1009mbar
8/28,0명,28,sunny,11km/h,89%,1009mbar
8/29,0명,27,sunny,13km/h,84%,1010mbar
8/30,0명,27,scatteres clouds,13km/h,84%,1009mbar
9/4,2명,27,scatteres clouds,7km/h,89%,1008mbar
9/5,4명,27,partly sunny,17km/h,89%,1006mbar
9/6,7명,28,scatteres clouds,19km/h,89%,1006mbar
9/9,3명,28,broken clouds,17km/h,89%,1008mbar
9/10,4명,28,passing clouds,7km/h,89%,1007mbar
9/11,1명,28,broken clouds,9km/h,94%,1009mbar
9/12,2명,28,passing clouds,4km/h,84%,1010mbar
9/13,2명,28,partly sunny,15km/h,89%,1008mbar
9/14,0명,27,sunny,17km/h,89%,1007mbar
9/16,0명,28,passing clouds,11km/h,84%%,1011mbar
9/18,9명,26,rain&fog,10km/h,94%,1002mbar
9/19,0명,27,broken clouds,15km/h,89%,1003mbar
9/20,2명,28,scatteres clouds,24km/h,84%,1004mbar
9/23,0명,28,passing clouds,9km/h,84%,1010mbar
9/24,0명,27,fog,7km/h,89%,1011mbar
9/25,0명,28,fog,6km/h,89%,1011mbar
9/26,1명,27,fog,7km/h,89%,1011mbar
10/1,1명,28,partly sunny,7km/h,84%,1010mbar
10/2,0명,31,scatteres clouds,4km.h,79%,1011mbar
10/3,0명,27,partly sunny,6km/h,84%,1011mbar
10/4,0명,27,fog,9km/h,89%,1011mbar
10/7,2명,26,fog,no wind,94%,1011mbar
10/9,3명,27,passing clouds,9km/h,89%,1010mbar
10/21,0명,25,partly sunny,9km/h,94%,1011mbar
10/22,1명,27,broken clouds,6km/h,94%,1009mbar
10/23,3명,26,partly sunny,9km/h,94%,1009mbar
10/24,1명,28,passing clouds,11km/h,79%,1009mbar
10/25,2명,28,partly sunny,7km/h,89%,1008mbar
10/28,3명,25,partly sunny,4km/h,89%,1006mbar
10/29,3명,26,scattered clouds,11km/h,94%,1008mbar
10/30,0명,28,passing clouds,7km/h,89%,1010mbar
10/31,6명,28,passing clouds,11km/h,79%,1009mbar
11/1,0명,27,clear,6km/h,94%,1010mbar
11/4,1명,29,sunny,4km/h,70%,1011mbar
11/5,1명,27,passing clouds,11km/h,84%,1011mbar
11/6,1명,28,passing clouds,4km/h,79%,1012mbar
11/7,2명,27,sunny,4km/h,84%,1012mbar
11/8,1명,27,passing clouds,6km/h,74%,1011mbar
11/11,0명,27,fog,4km/h,89%,1010mbar
11/12,5명,28,fog,4km/h,89%,1010mbar
11/13,0명,28,partly sunny,11km/h,89%,1009mbar
11/14,1명,29,sunny,15km/h,79%,1010mbar
11/15,3명,28,passing clouds,13km/h,84%,1010mbar
11/18,2명,28,clear,2km/h,79%,1010mbar
11/19,0명,27,fog,7km/h,89%,1010mbar
11/20,4명,28,passing clouds,6km/h,79%,1011mbar
11/21,2명,29,clear,6km/h,79%,1009mbar